Unit,Weapon,Range,Attacks,Skill,Strength,AP,Damage,Modifier 1,Modifier 2,Modifier 3
Doom Scythe (damaged),Twin tesla destructor,36,6,4,8,0,2,Twin-linked,Sustained Hits 2,
Doomsday Ark,Doomsday cannon (moved),72,D6+1,3,18,-4,4,Blast,,
Doomsday Ark,Doomsday cannon (Heavy),72,D6+1,2,18,-4,4,Blast,,
Doomsday Ark,Gauss flayer array,24,5,3,4,0,1,Rapid Fire 5,Lethal Hits,
Doomsday Ark,Armoured bulk,0,3,4,6,0,1,,,
Doomsday Ark (damaged),Doomsday cannon (moved),72,D6+1,4,18,-4,4,Blast,,
Doomsday Ark (damaged),Doomsday cannon (Heavy),72,D6+1,3,18,-4,4,Blast,,
Doomsday Ark (damaged),Gauss flayer array,24,5,4,4,0,1,Rapid Fire 5,Lethal Hits,
Doomsday Ark (damaged),Armoured bulk,0,3,5,6,0,1,,,
Flayed One,Flayer claws,0,4,3,4,-1,1,Twin-linked,Sustained Hits 1,
Flayed One,Flayer claws (hungry),0,4,3,4,-1,1,Twin-linked,All Hits Critical,Sustained Hits 1
Lokhust Destroyer,Gauss cannon,24,3,3,5,-2,2,Lethal Hits,,
Lokhust Destroyer,Gauss cannon (closest),24,3,3,5,-2,2,Re-roll Hit 1,Lethal Hits,
Lokhust Destroyer,Close combat,0,2,3,4,0,1,,,
Lokhust Heavy Destroyer,Enmitic Exterminator (moved),36,6,3,6,-1,1,Rapid Fire 6,Sustained Hits 1,
Lokhust Heavy Destroyer,Enmitic Exterminator (heavy),36,6,2,6,-1,1,Rapid Fire 6,Sustained Hits 1,
Lokhust Heavy Destroyer,"Enmitic Exterminator (moved and closest)",36,6,3,6,-1,1,Re-roll Hit 1,Rapid Fire 6,Sustained Hits 1
Lokhust Heavy Destroyer,"Enmitic Exterminator (heavy and closest)",36,6,2,6,-1,1,Re-roll Hit 1,Rapid Fire 6,Sustained Hits 1
Lokhust Heavy Destroyer,Gauss Destructor (moved),48,1,3,14,-4,6,Lethal Hits,,
Lokhust Heavy Destroyer,Gauss Destructor (heavy),48,1,2,14,-4,6,Lethal Hits,,
Lokhust Heavy Destroyer,"Gauss Destructor (moved and closest)",48,1,3,14,-4,6,Re-roll Hit 1,Lethal Hits,
Lokhust Heavy Destroyer,"Gauss Destructor (heavy and closest)",48,1,2,14,-4,6,Re-roll Hit 1,Lethal Hits,
Lokhust Heavy Destroyer,Close combat,0,2,3,4,0,1,,,
Lychgaurd,Hyperphase Sword,0,3,3,6,-2,1,,,
Lychgaurd,Warscythe,0,2,3,8,-3,2,Devastating Wounds,,
Monolith,Death Ray,24,1,3,12,-4,D6+1,Sustained Hits D3,,
Monolith,Gauss flux arc,24,3,3,6,-1,1,Rapid Fire 3,Lethal Hits,
Monolith,Particle whip,24,3D6,3,8,-1,2,Blast,Devastating Wounds,
Monolith,Portal of exile,0,6,2,8,-2,3,,,
Monolith (damaged),Death Ray,24,1,4,12,-4,D6+1,Sustained Hits D3,,
Monolith (damaged),Gauss flux arc,24,3,4,6,-1,1,Rapid Fire 3,Lethal Hits,
Monolith (damaged),Particle whip,24,3D6,4,8,-1,2,Blast,Devastating Wounds,
Monolith (damaged),Portal of exile,0,6,3,8,-2,3,,,
Night Scythe,Twin tesla destructor,36,6,3,8,0,2,Twin-linked,Sustained hits 2,
Night Scythe,Armoured bulk,0,3,4,6,0,1,,,
Night Scythe (damaged),Twin tesla destructor,36,6,3,8,0,2,Twin-linked,Sustained hits 2,
Night Scythe (damaged),Armoured bulk,0,3,4,6,0,1,,,
Obelisk,Tesla sphere,24,6,3,7,0,1,Anti FLY 4,Sustained hits 2,
Obelisk,Armoured bulk,0,6,4,8,0,1,,,
Obelisk (damaged),Tesla sphere,24,6,4,7,0,1,Anti FLY 4,Sustained hits 2,
Obelisk (damaged),Armoured bulk,0,6,5,8,0,1,,,
Ophydian Destroyer,Hyperphase weapons,0,5,3,4,-2,2,,,
Ophydian Destroyer,Hyperphase weapons (token),0,5,3,4,-2,2,Devastating Wounds,,
Skorphek Destroyer,Hyperphase weapons,0,4,3,7,-2,2,,,
Skorphek Destroyer,Hyperphase weapons (token),0,4,3,7,-2,2,Devastating Wounds,,
Tomb Blade,Particle Beamer,18,D6,3,5,0,1,Blast,Devastating Wounds,
Tomb Blade,Twinn gauss blaster,24,2,3,5,-1,1,Twin-linked,Lethal Hits,
Tomb Blade,Twin tesla carbine,24,2,3,5,0,1,Twin-linked,Sustained Hits 2,Assult
Tomb Blade,Close combat,0,1,4,4,0,1,,,
Triarch Praetorian,Particle caster,12,3,3,5,0,1,Devastating Wounds,Pistol,
Triarch Praetorian,Rod of covenant,12,1,3,5,-2,2,,,
Triarch Praetorian,Rod of covenant,0,3,3,5,-2,2,,,
Triarch Praetorian,Voidblade,0,4,3,5,-2,1,,,
Triarch Stalker,Heat ray (dispersed),12,2D6,0,5,-1,1,Torrent,Ignores Cover,
Triarch Stalker,Heat ray (focussed),18,2,3,9,-4,D6,Melta 4,,
Triarch Stalker,Heavy gauss cannon array,24,6,3,8,-2,2,Lethal Hits,,
Triarch Stalker,Particle shreddder,18,D6+6,2,7,0,1,Blast,Devastating Wounds,
Triarch Stalker,Forelimbs,0,4,3,7,-1,3,,,
Teseract Vault,Tesla spheres,24,6,3,7,0,1,Sustained hits 2,,
Teseract Vault,Antimatter Meteor,24,D6+3,3,10,-3,3,Blast,Devastating Wounds,Indirect Fire
Teseract Vault,Cosmic Fire,18,3D6,0,6,-2,1,Torrent,Devastating Wounds,Ignores Cover
Teseract Vault,Time's Arrow,24,1,2,3,-2,6,Anti CHARACTER 4,Devastating Wounds,Precision
Teseract Vault,Armoured Bulk,0,6,4,8,0,1,,,
Seraptek Heavy Construct,Singularity Generator,36,2D6,3,10,-3,4,Blast,Devastating Wounds,
Seraptek Heavy Construct,Synaptic obliterator,48,8,3,5,-1,2,Sustained Hits 2,,
Seraptek Heavy Construct,Transdimentional projector,48,2,3,24,-4,D6+4,,,
Seraptek Heavy Construct,Limbs (strike),0,6,3,14,-3,5,,,
Seraptek Heavy Construct,Limbs (sweep),0,12,3,8,-1,2,,,
Seraptek Heavy Construct (damaged),Singularity Generator,36,2D6,4,10,-3,4,Blast,Devastating Wounds,
Seraptek Heavy Construct (damaged),Synaptic obliterator,48,8,4,5,-1,2,Sustained Hits 2,,
Seraptek Heavy Construct (damaged),Transdimentional projector,48,2,4,24,-4,D6+4,,,
Seraptek Heavy Construct (damaged),Limbs (strike),0,6,4,14,-3,5,,,
Seraptek Heavy Construct (damaged),Limbs (sweep),0,12,4,8,-1,2,,,
